Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy,GDP Per Capita,Literacy Rate,Life expectancy
Haiti,Americas,Latin America and the Caribbean,Caribbean,13446602203,32.47362713,938000,66.182,61.831,0.2343,11402533,2.542372881,0.533599973,1.594889998,9930,0,1179.264485,1.064244986,64.0065
Honduras,Americas,Latin America and the Caribbean,Central America,22201408353,32.13636364,2315000,77.551,72.96,0.3089,9904608,21.09375,30.28330994,22.18382072,22400,0,2241.523173,26.23356533,75.2555
"Hong Kong SAR, China",Asia,Eastern Asia,Eastern Asia,3.65719E+11,91.74340039,55913000,88.1,82.2,1.319,7481800,,85.4701004,76.69708252,36448.702,1,48881.1787,81.08359146,85.15
Hungary,Europe,Eastern Europe,Eastern Europe,1.5923E+11,80.37169361,61397000,79.3,72.9,3.4075,9749763,12.06030151,55.56222916,45.30236053,60920,1,16331.64206,50.43229485,76.1
Iceland,Europe,0rthern Europe,0rthern Europe,24634234578,99.01095399,2202000,84.2,81,4.0778,366425,38.0952381,95.70391846,51.7650795,3440,1,67228.58587,73.73449898,82.6
India,Asia,Southern Asia,Southern Asia,2.5983E+12,20.08130004,17914000,70.95,68.464,0.8571,1380004385,14.36464088,30.21796036,27.11051941,3374990,0,1882.819561,28.66423988,69.707
Indonesia,Asia,South-eastern Asia,South-eastern Asia,1.02992E+12,47.69064898,16107000,73.967,69.572,0.4269,273523621,20.34782609,38.99365997,33.75196075,969580,0,3765.376323,36.37281036,71.7695
"Iran, Islamic Rep.",Asia,Southern Asia,Southern Asia,1.92237E+11,70.00455222,9107000,77.885,75.593,1.5844,83992953,5.594405594,58.91133881,66.60736084,828280,0,2288.733592,62.75934982,76.739
Iraq,Asia,Western Asia,Western Asia,1.65414E+11,75.00000131,892000,72.652,68.565,0.7079,40222503,26.443769,11.98538017,20.12871933,215690,0,4112.478517,16.05704975,70.6085
Ireland,Europe,0rthern Europe,0rthern Europe,3.08373E+11,84.52230206,10951000,84.3,80.4,3.3125,4994724,22.5,82.06006622,72.70329285,65090,1,61739.77171,77.38167953,82.35
Isle of Man,Europe,0rthern Europe,0rthern Europe,7111914610,,,81.5,74.6,1.449,85032,,,,,1,83638.09636,0,78.05
Israel,Asia,Western Asia,Western Asia,3.92787E+11,86.78787762,4905000,84.7,81,4.6249,9216900,27.5,72.55491638,50.97639847,87830,1,42615.94309,61.76565742,82.85
Italy,Europe,Southern Europe,Southern Europe,1.90593E+12,74.38718292,95399000,85.4,81.1,3.9774,59554023,35.71428571,74.12349701,55.17591858,399600,1,32003.41774,64.64970779,83.25
Jamaica,Americas,Latin America and the Caribbean,Caribbean,13253010658,55.07206705,4233000,76.118,72.868,1.3061,2961161,28.57142857,34.69338989,19.88180923,10020,0,4475.612997,27.28759956,74.493
Japan,Asia,Eastern Asia,Eastern Asia,5.25243E+12,91.28160849,31882000,87.45,81.41,2.4115,125836021,9.892473118,,,1186770,1,41740.242,0,84.43
Jordan,Asia,Western Asia,Western Asia,43567236740,66.79031443,5361000,76.306,72.839,2.3237,10203140,11.53846154,37.37089157,31.51004028,35810,0,4269.983235,34.44046593,74.5725
Kazakhstan,Asia,Central Asia,Central Asia,1.54905E+11,81.87762554,8515000,77.3,68.82,3.98,18754440,27.10280374,68.44193268,55.38415146,274220,0,8259.66655,61.91304207,73.06
